EmployeeID,Age,Gender,MaritalStatus,Education,Department,JobRole,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,MonthlyIncome,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,DistanceFromHome,NumCompaniesWorked,TrainingTimesLastYear,Attrition,TenureToIncomeRatio,SatisfactionScore
82,38,Female,Married,Bachelor,HR,Recruiter,7.2,3.8,5,7656,1,4,4,3,4,No,15.2,1,1,1,0.9404388714733543,3.0
83,42,Female,Married,Master,Operations,Supply Chain Analyst,9.9,1.2,0,8992,1,2,2,1,3,No,8.1,2,6,1,1.1009786476868326,1.5
84,46,Female,Married,Bachelor,Sales,Sales Executive,8.6,1.2,1,7790,2,3,1,2,3,No,22.8,3,1,1,1.10397946084724,2.0
85,33,Female,Divorced,Bachelor,Sales,Account Manager,7.7,3.5,4,7579,2,4,3,1,3,Yes,13.5,1,4,1,1.0159651669085632,2.5
86,45,Male,Married,Bachelor,IT,Data Scientist,2.3,2.3,0,8904,2,3,2,4,3,No,16.1,2,6,0,0.2583108715184187,2.75
87,54,Male,Married,Bachelor,HR,HR Business Partner,2.6,2.6,0,7333,3,3,2,3,4,No,1.0,0,5,0,0.3545615709804991,2.75
88,27,Male,Divorced,Bachelor,IT,DevOps Engineer,2.3,2.3,2,8082,1,4,2,2,2,No,7.3,2,0,0,0.28458302400395935,2.25
89,51,Male,Single,High School,HR,HR Business Partner,2.5,1.2,0,3837,2,1,1,2,2,No,0.4,2,2,1,0.6515506906437321,1.5
90,36,Female,Married,Bachelor,Sales,Sales Executive,2.5,2.5,2,6543,1,1,4,4,3,No,4.1,0,0,1,0.38208772734219776,2.5
91,38,Female,Married,Bachelor,IT,Software Engineer,5.5,0.9,3,10330,4,4,3,1,3,Yes,6.5,1,0,1,0.5324298160696999,3.0
92,28,Female,Married,Bachelor,Operations,Logistics Coordinator,2.7,2.7,1,6056,4,2,4,2,3,No,9.1,2,2,1,0.4458388375165126,3.0
93,40,Male,Single,Bachelor,Operations,Operations Manager,4.0,4.0,0,6376,4,2,4,2,2,No,4.8,2,5,1,0.6273525721455457,3.0
94,22,Male,Married,Bachelor,HR,HR Manager,0.0,0.0,0,6372,4,3,2,3,4,No,8.0,0,0,1,0.0,3.0
95,41,Female,Married,High School,Finance,Financial Analyst,4.5,3.1,1,7865,4,2,2,3,4,No,5.7,1,1,0,0.5721551176096631,2.75
96,39,Female,Married,Master,Sales,Sales Executive,6.9,3.3,0,9785,1,4,2,2,3,No,3.4,1,6,1,0.7051609606540624,2.25
97,56,Female,Married,Bachelor,Operations,Operations Manager,3.6,3.6,0,7212,1,2,3,3,3,Yes,1.5,0,5,1,0.4991680532445924,2.25
98,41,Male,Single,Bachelor,Sales,Account Manager,8.6,3.6,1,7704,1,3,4,3,3,Yes,30.4,1,3,1,1.1163032191069575,2.75
99,32,Male,Married,Bachelor,Sales,Account Manager,4.7,3.4,1,7115,1,4,3,3,2,Yes,8.8,3,0,1,0.6605762473647224,2.75
100,30,Female,Married,Master,Sales,Sales Executive,3.8,3.0,3,8739,3,1,3,2,2,No,6.7,1,3,0,0.43483236068200015,2.25
101,55,Male,Single,PhD,Sales,Sales Manager,3.9,1.5,1,11026,4,2,1,1,3,No,11.6,0,5,0,0.35370941411209866,2.0
102,29,Male,Single,High School,Finance,Financial Analyst,7.0,1.3,1,7223,4,1,3,3,3,No,7.9,0,4,0,0.9691264017721168,2.75
103,33,Female,Married,Bachelor,Operations,Logistics Coordinator,1.8,1.8,1,6590,4,2,2,2,3,No,4.7,1,3,1,0.27314112291350534,2.5
104,36,Female,Married,Bachelor,IT,Data Scientist,6.1,4.7,0,9899,1,1,3,4,2,No,14.3,2,6,1,0.6162238609960602,2.25
105,42,Female,Married,Bachelor,Sales,Sales Manager,14.3,1.4,1,10076,3,1,1,2,3,No,12.2,2,2,1,1.4192139737991267,1.75
106,57,Male,Married,Bachelor,Operations,Operations Manager,4.1,2.8,1,6966,3,1,2,4,3,Yes,20.2,3,6,0,0.5885730691932242,2.5
107,26,Male,Married,PhD,Finance,Accountant,4.0,2.3,3,13366,2,2,3,1,3,Yes,7.7,1,0,1,0.2992667963489451,2.0
108,38,Male,Married,Bachelor,Finance,Financial Analyst,13.2,9.8,1,10355,3,3,2,2,3,No,3.9,3,6,0,1.274746499275712,2.5
109,57,Male,Divorced,PhD,Sales,Sales Manager,1.3,1.3,1,9583,1,4,2,3,2,No,1.5,1,6,1,0.13565689241364917,2.5
110,38,Female,Single,Bachelor,Sales,Account Manager,6.7,2.4,1,8041,3,3,2,4,3,No,4.5,1,2,0,0.8332296977987812,3.0
111,25,Female,Divorced,Bachelor,Operations,Operations Manager,3.0,2.1,0,6874,2,3,3,1,3,Yes,9.7,2,5,1,0.4364271166715159,2.25
112,33,Female,Single,Bachelor,Sales,Sales Manager,9.1,1.6,3,8613,1,4,1,1,3,Yes,14.6,2,1,1,1.0565424358527806,1.75
113,44,Male,Married,High School,HR,HR Business Partner,15.6,4.3,2,6690,1,1,3,3,4,No,10.7,0,6,1,2.331838565022421,2.0
114,24,Female,Married,Master,HR,Recruiter,2.0,0.5,2,7396,1,1,1,3,3,No,9.6,1,3,1,0.2704164413196322,1.5
115,36,Female,Single,Bachelor,IT,Product Manager,3.9,1.4,0,9374,3,1,4,1,3,Yes,4.9,1,1,1,0.4160443780669938,2.25
116,27,Male,Single,Master,HR,HR Manager,2.0,1.2,2,7356,4,2,3,3,3,No,14.2,1,6,1,0.27188689505165853,3.0
117,44,Male,Single,Master,Operations,Supply Chain Analyst,14.8,1.0,0,9258,3,3,4,1,1,No,8.3,2,5,0,1.5986174119680279,2.75
118,28,Female,Married,Bachelor,IT,Product Manager,6.0,1.9,0,8620,4,1,3,1,1,Yes,7.3,1,2,1,0.6960556844547564,2.25
119,31,Male,Married,High School,Finance,Financial Analyst,9.0,3.6,1,8090,3,1,3,3,3,No,15.7,0,0,1,1.1124845488257107,2.5
120,49,Male,Single,Bachelor,Operations,Supply Chain Analyst,3.2,2.8,1,7206,1,2,3,4,3,Yes,4.1,2,3,1,0.4440743824590619,2.5
121,30,Male,Married,Master,Finance,Accountant,8.0,3.1,2,11195,2,4,1,3,2,No,9.4,1,2,0,0.7146047342563644,2.5
122,49,Female,Married,Bachelor,IT,Software Engineer,10.7,3.7,2,10751,1,4,4,4,3,No,15.1,1,1,0,0.9952562552320714,3.25
123,26,Male,Single,Bachelor,Sales,Sales Manager,1.3,1.3,1,7920,2,1,2,2,4,No,2.4,1,3,1,0.16414141414141414,1.75
124,54,Male,Married,PhD,Operations,Logistics Coordinator,6.3,1.2,2,11404,3,2,2,1,3,Yes,7.8,2,2,1,0.5524377411434584,2.0
125,23,Female,Divorced,Bachelor,Operations,Supply Chain Analyst,1.0,1.0,0,6075,2,2,1,2,3,No,5.3,1,1,1,0.1646090534979424,1.75
126,23,Male,Single,Master,HR,HR Manager,1.0,1.0,1,9658,2,4,3,3,4,No,2.0,1,4,1,0.10354110581901015,3.0
127,41,Female,Married,Bachelor,Sales,Sales Manager,3.4,3.4,0,7424,1,1,2,2,3,Yes,24.6,1,2,1,0.4579741379310345,1.5
128,28,Female,Divorced,Master,Finance,Accountant,4.9,4.9,3,10927,1,4,1,4,3,Yes,11.5,1,6,1,0.4484304932735427,2.5
129,55,Female,Married,Bachelor,IT,Software Engineer,8.0,2.2,1,10005,1,1,1,1,2,No,3.9,2,2,1,0.7996001999000499,1.0
130,25,Female,Married,Bachelor,Sales,Sales Executive,3.0,3.0,2,5688,4,3,3,2,2,No,5.7,1,2,1,0.5274261603375527,3.0
131,30,Male,Married,Bachelor,Sales,Account Manager,2.6,1.8,2,7694,1,3,4,1,4,No,17.4,2,6,1,0.3379256563556018,2.25
132,38,Male,Single,High School,Operations,Operations Manager,6.9,4.3,2,5803,3,4,1,1,3,No,5.3,1,2,0,1.1890401516457005,2.25
133,54,Female,Married,High School,HR,Recruiter,7.0,2.9,6,5917,4,3,2,4,4,No,7.1,1,2,1,1.1830319418624302,3.25
134,37,Male,Single,Bachelor,Finance,Finance Manager,4.2,0.8,2,8524,4,2,1,2,3,No,6.9,1,6,1,0.49272641952135154,2.25
135,40,Female,Divorced,Bachelor,IT,DevOps Engineer,5.2,0.7,0,9957,1,4,2,1,3,No,1.2,0,0,1,0.5222456563221853,2.0
136,23,Male,Divorced,Master,HR,HR Business Partner,1.0,1.0,1,7656,4,3,3,2,3,No,2.9,0,0,1,0.13061650992685475,3.0
137,46,Male,Married,Master,Finance,Finance Manager,2.9,0.6,2,12182,1,1,1,4,4,No,14.2,2,1,1,0.23805614841569528,1.75
138,56,Female,Married,High School,Operations,Operations Manager,7.5,7.5,1,6439,1,4,3,1,4,Yes,3.5,0,5,0,1.1647771393073458,2.25
139,31,Female,Married,Bachelor,Finance,Accountant,6.5,4.9,1,9019,1,2,3,1,3,No,16.6,1,1,1,0.7207007428761504,1.75
140,58,Female,Married,Bachelor,HR,Recruiter,3.4,2.5,2,5671,3,1,3,3,3,Yes,14.8,2,2,1,0.5995415270675365,2.5
141,22,Male,Married,Bachelor,Sales,Sales Executive,0.0,0.0,0,6719,1,4,2,2,3,Yes,4.4,0,6,1,0.0,2.25
142,26,Female,Divorced,Master,HR,Recruiter,4.0,0.9,0,7940,1,4,2,4,3,Yes,25.4,1,3,1,0.5037783375314862,2.75
143,49,Male,Single,Bachelor,HR,Recruiter,6.8,2.7,4,7117,3,1,2,1,3,No,3.9,2,1,1,0.9554587607137839,1.75
144,34,Female,Divorced,Bachelor,IT,Software Engineer,3.9,0.7,3,9158,1,3,1,1,1,No,3.0,2,0,1,0.42585717405547063,1.5
145,28,Male,Divorced,Bachelor,Finance,Finance Manager,6.0,2.2,2,8087,3,4,4,2,2,No,15.1,0,4,0,0.7419314949919624,3.25
146,34,Female,Divorced,Bachelor,HR,Recruiter,2.5,1.4,0,6602,3,3,2,4,3,No,19.6,2,3,1,0.37867312935474096,3.0
147,36,Male,Married,Bachelor,IT,Software Engineer,2.4,2.4,0,8636,3,1,3,4,3,No,2.6,2,6,0,0.2779064381658175,2.75
148,47,Female,Married,Bachelor,IT,Product Manager,13.7,2.1,3,12530,3,1,4,1,3,No,7.4,1,1,0,1.0933758978451715,2.25
149,59,Male,Married,Bachelor,Finance,Financial Analyst,3.9,2.2,2,8635,3,4,3,2,2,No,7.4,2,3,1,0.451650260567458,3.0
150,49,Male,Single,Bachelor,Finance,Financial Analyst,9.2,3.3,3,10988,2,3,4,4,3,Yes,4.5,2,3,1,0.8372770294867128,3.25
151,52,Female,Single,Master,HR,HR Business Partner,8.8,0.9,4,8323,3,3,1,3,3,Yes,6.9,1,0,0,1.0573110657214946,2.5
152,53,Male,Single,Bachelor,HR,HR Manager,6.2,5.1,0,6105,3,3,3,2,3,No,5.2,1,2,1,1.0155610155610155,2.75
153,25,Female,Divorced,Bachelor,HR,HR Business Partner,3.0,3.0,0,5490,3,1,4,1,2,No,23.6,2,5,1,0.5464480874316939,2.25
154,38,Female,Single,Bachelor,Sales,Account Manager,4.8,0.8,1,8131,2,3,4,4,4,No,16.3,1,3,1,0.5903332923379657,3.25
155,47,Male,Divorced,Bachelor,HR,HR Business Partner,4.4,4.4,0,6225,1,3,3,4,3,No,23.8,3,3,1,0.7068273092369479,2.75
156,33,Female,Divorced,Master,HR,Recruiter,3.4,2.2,3,6932,4,2,2,4,2,No,6.9,1,5,0,0.49047893825735717,3.0
157,50,Male,Single,High School,Sales,Sales Executive,7.1,2.9,3,5596,4,3,4,3,2,No,15.1,4,5,0,1.2687634024303074,3.5
158,44,Male,Single,Bachelor,Sales,Account Manager,5.0,1.5,2,7185,4,2,3,4,3,No,14.7,0,6,0,0.6958942240779402,3.25
159,59,Female,Divorced,Bachelor,IT,Product Manager,3.9,3.9,1,8566,1,1,1,1,2,No,6.3,2,0,1,0.45528834928788225,1.0
160,59,Male,Single,Master,HR,HR Business Partner,6.9,1.8,0,8335,4,3,4,2,2,No,5.4,3,0,1,0.8278344331133772,3.25
161,52,Male,Single,Master,Operations,Operations Manager,6.0,1.5,1,8786,1,2,4,1,3,Yes,3.4,0,2,1,0.6829046209879354,2.0
162,34,Male,Married,Bachelor,IT,Data Scientist,1.9,1.9,0,8897,1,2,1,4,3,No,14.3,1,3,1,0.21355513094301448,2.0
163,30,Female,Single,Bachelor,IT,Product Manager,3.7,3.2,3,11107,2,4,1,3,4,Yes,5.0,2,5,1,0.33312325560457373,2.5
164,59,Male,Married,Master,Sales,Sales Executive,2.5,2.1,2,8470,3,4,3,3,3,No,2.8,2,3,1,0.29515938606847697,3.25
165,57,Female,Married,High School,Sales,Account Manager,11.3,2.0,0,6032,4,3,4,1,2,No,9.9,0,3,1,1.873342175066313,3.0
166,35,Male,Single,Master,IT,Software Engineer,4.7,3.5,4,11701,1,3,2,3,2,Yes,13.1,0,3,1,0.4016750705067943,2.25
167,25,Male,Single,Master,Sales,Sales Manager,3.0,1.0,1,8601,2,1,2,1,3,Yes,1.2,0,0,1,0.34879665155214507,1.5
168,44,Female,Married,Master,HR,Recruiter,4.6,4.4,1,6923,1,3,1,4,2,No,10.6,1,2,1,0.6644518272425248,2.25
169,33,Female,Married,Master,Finance,Financial Analyst,1.2,1.2,0,9324,4,1,3,2,3,No,13.3,1,5,0,0.1287001287001287,2.5
170,38,Female,Married,Bachelor,Finance,Accountant,6.9,2.0,0,9354,1,3,1,1,3,Yes,7.4,0,5,1,0.7376523412443875,1.5
171,39,Male,Married,Master,Operations,Supply Chain Analyst,12.2,2.6,0,9771,3,3,4,4,3,No,23.5,1,6,0,1.2485927745368948,3.5
172,25,Female,Divorced,High School,Operations,Operations Manager,3.0,0.6,0,5482,4,4,3,3,3,Yes,5.5,0,5,0,0.5472455308281649,3.5
173,26,Female,Married,Bachelor,Finance,Finance Manager,2.7,2.7,0,8571,4,1,3,2,3,No,34.6,1,0,1,0.3150157507875394,2.5
174,25,Male,Divorced,Bachelor,HR,Recruiter,3.0,3.0,3,4933,2,3,1,4,2,No,1.3,0,4,1,0.6081491992702209,2.5
175,44,Male,Single,Bachelor,Sales,Sales Manager,3.0,2.1,1,7266,4,4,2,2,3,No,6.2,0,5,0,0.41288191577208916,3.0
176,33,Male,Single,Bachelor,IT,DevOps Engineer,10.9,6.9,0,10556,3,2,3,4,2,No,5.7,1,1,1,1.032588101553619,3.0
177,49,Male,Single,Bachelor,IT,DevOps Engineer,5.3,1.4,1,9703,4,3,2,4,2,No,10.5,1,1,0,0.546222817685252,3.25
178,57,Female,Married,Bachelor,HR,Recruiter,3.4,0.7,0,5681,1,3,3,3,3,No,5.8,2,6,1,0.5984861820102094,2.5
179,58,Male,Divorced,High School,Finance,Accountant,6.2,0.0,0,6987,3,4,3,1,3,No,22.2,1,6,0,0.8873622441677401,2.75
180,22,Male,Married,High School,IT,Product Manager,0.0,0.0,0,5661,2,2,4,4,2,Yes,5.7,1,1,1,0.0,3.0
181,51,Male,Single,High School,IT,Product Manager,4.8,3.4,0,7740,3,1,2,4,3,Yes,4.6,2,1,1,0.6201550387596899,2.5
182,53,Female,Married,Master,IT,Software Engineer,2.2,2.2,2,13186,1,2,2,1,4,No,13.9,0,1,1,0.16684362202335812,1.5
183,27,Female,Married,Bachelor,Finance,Financial Analyst,5.0,1.7,3,8110,3,4,1,3,2,Yes,12.4,1,4,0,0.6165228113440198,2.75
